Id,Label,timeset,posteos_realizados,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,degree
240,Goldfinger,,1,0,0,0,0,0,0,0
241,MarceRoCa,,2,0,0,0,0,0,0,0
242,mateobian,,14,0,0,0,0,0,0,0
243,TeoTrading,,2,0,0,0,0,0,0,0
244,Mongo Aurelius,,5,0,0,0,0,0,0,0
245,MJS1977,,2,0,0,0,0,0,0,0
246,russo2019,,1,0,0,0,0,0,0,0
247,Sonic,,1,0,0,0,0,0,0,0
248,el aprendiz,,26,0,0,0,0,0,0,0
249,ricky301,,1,0,0,0,0,0,0,0
250,mec123,,1,0,0,0,0,0,0,0
251,Joaquinesteban95,,1,0,0,0,0,0,0,0
252,el elec,,1,0,0,0,0,0,0,0
253,gringo de devoto,,1,0,0,0,0,0,0,0
254,Matias L,,3,0,0,0,0,0,0,0
255,Oak3nfold,,1,0,0,0,0,0,0,0
256,pipa,,1,0,0,0,0,0,0,0
257,elrodra,,1,0,0,0,0,0,0,0
258,PrinzEugen,,1,0,0,0,0,0,0,0
259,horatius,,1,0,0,0,0,0,0,0
260,SIM0N1,,1,0,0,0,0,0,0,0
261,Monkey,,3,0,0,0,0,0,0,0
262,Neron,,1,0,0,0,0,0,0,0
263,Loys,,6,0,0,0,0,0,0,0
264,Pocoseso,,1,0,0,0,0,0,0,0
265,nestorrapanelli,,1,0,0,0,0,0,0,0
266,DanielC,,2,0,0,0,0,0,0,0
267,tanoutn,,4,0,0,0,0,0,0,0
268,her_fedo,,1,0,0,0,0,0,0,0
269,xps,,4,0,0,0,0,0,0,0
270,RAIDER ON THE STORM,,1,0,0,0,0,0,0,0
271,elsocialista,,1,0,0,0,0,0,0,0
272,warrenbuffet20,,1,0,0,0,0,0,0,0
